No,Unit Name,ชื่อร้านค้า,Floor 
1,1A 01,CAMP STUDIO,1
2,1A 02,THE NEXT,1
3,1A 03,DEPARTURE,1
4,1A 04,SEEK AND KEEP CLUB,1
5,"1B 03, 1B 04",ADIDAS ORIGINALS,1
6,"1B 05, 1B 06",NEW BALANCE,1
7,1C 02,TRIKUL,1
8,1C 03,GENTLEWOMAN,1
9,1C 04,DADDY AND THE MUSCLE ACADEMY,1
10,1C 05,FRANK GARCON,1
11,1D 01,SWATCH,1
12,1D 02,TISSOT,1
13,1D 03/A,HEINEKEN EXPERIENCE,1
14,1E 01,LACOSTE,1
15,"1E 02, 1E 03, 1E 04, 1E 05",FOOT LOCKER,1
16,1E 08,HOOPS STATION,1
17,1E 09,ELEMENT 72,1
18,1F 01,MEDIUMS / VELA,1
19,"1F 04, 1F 05",LEVI'S,1
20,"1V 02, 1V 03",SEIKO,1
21,1V 11,CMG-GARMIN,1
22,1V 12,MEDILEEN,1
23,1V 16,VACANT,1
146,1C 01,ASTRO STUFFS (F/O),1
147,1E 06,HEINEKEN EXPERIENCE,1
148,1E 07,VR BEAR (GACHAPONG),1
149,"1F 02, 1F 03",EVEANDBOY,1
150,"1G 01, 1G 02",BRIDDERS OPTICAL,1
151,"1H 01, 1H 01",VACANT,1
152,"1H 04, 1H 05",VACANT,1
153,1V 01,TOPOLOGIES (UNDER SOUP),1
154,1V 04,EVEANDBOY POP-UP (END 29 FEB 24),1
155,1V 05,SUPERRICH,1
156,1V 06,VACANT,1
157,1V 07,VACANT,1
158,1V 13,FABRIQUE,1
159,"1V 14, 1V 15",GORI OUTDOOR,1
270,"1H 01, 1H 02, 1H 03",POPSTORE,1
271,"1H 04, 1H 05",POPSTORE,1
24,"2A 01, 2A 02",ASIA BOOKS,2
25,2A 03,425 DEGREE,2
26,"2B 01, 2B 02",WATSONS,2
27,2C 01,GAC AION ,2
28,"2C 02, 2C 03, 2C 04",MGC AUTO GALLERIA,2
29,2C 05,DJI,2
30,2C 06,TECHNOGYM,2
31,"2D 01, 2D 02",GLASSIQ,2
32,2E 01/B,SOLAR D,2
33,"2E 02, 2E 03",TRUE,2
34,"2E 04, 2E 05, 2E 06, 2E 07",HISENSE/ GORENJI/ ASKO,2
35,2E 08,SMEG,2
36,2F 01,STUDIO 7,2
37,"2F 02, 2F 03",VOLVO,2
38,2F 04,VR BEAR,2
39,2G 01/A,OMAZZ,2
40,2G 01/B,ERGO TREND,2
